,X,Y,Z,Magnitude,HIP ID
968,-0.3741405977725307,-0.3123505988250848,-0.8731872173320131,-0.01,71683.0
969,-0.7328499190940639,-0.6189025886020307,0.2826492205995436,4.49,71762.0
970,-0.7410164427595366,-0.6281523609000476,0.23731675679500347,3.78,71795.0
971,-0.7536971561909253,-0.6417051322669328,0.141968728852484,4.86,71832.0
972,-0.5149515093190138,-0.4395324012229949,-0.7359593815729355,2.3,71860.0
973,-0.6009818984347152,-0.5131008768976334,-0.6128199147226576,4.01,71865.0
974,-0.3210482941769009,-0.2754050543066715,-0.9061346747964352,3.18,71908.0
975,-0.7536933039429901,-0.6497839092506982,-0.09862694799282863,3.87,71957.0
976,-0.6767296594059117,-0.5852841335123318,0.44663122499336927,4.8,71995.0
977,-0.6177043463698162,-0.5353343619516026,-0.5760715766202223,4.06,72010.0
978,-0.6144543994221239,-0.5388003075260139,-0.5763159026442612,4.92,72104.0
979,-0.669487626954255,-0.5870504324972174,0.45514624799067616,2.35,72105.0
980,-0.7184666733229423,-0.631407671221941,0.29177044409321107,4.6,72125.0
981,-0.7478359622518707,-0.663061435902662,0.03302886285536952,3.73,72220.0
982,-0.1413047561089606,-0.12707635311316265,-0.9817762302991685,3.83,72370.0
983,-0.6504793102187889,-0.5975289850155961,-0.4688664831735364,4.42,72571.0
984,-0.20072960176563348,-0.1850699737818782,0.9620066173261934,2.07,72607.0
985,-0.7060800350909423,-0.6519849613762881,-0.27634506361636685,2.75,72622.0
986,-0.7336719932043344,-0.6783177756485272,-0.040129809703180475,4.93,72631.0
987,-0.6927950014618334,-0.6426218897617464,0.3272188759050129,4.54,72659.0
988,-0.530621914294861,-0.4932464106906903,-0.6893100626066676,4.32,72683.0
989,-0.7136913918755438,-0.6963465045639589,-0.07580331618277289,4.47,73165.0
990,-0.2913955104995736,-0.28530291810098773,0.9130667562581358,4.63,73199.0
991,-0.519311206231828,-0.51269620930917,-0.6837093447087376,2.68,73273.0
992,-0.5265377823835099,-0.5226959701047338,-0.6704825773716472,3.13,73334.0
993,-0.6963365121433454,-0.7022613275548569,-0.14813672629341687,4.91,73473.0
994,-0.5339763147883344,-0.5431163561305555,0.6479922213642206,3.49,73555.0
995,-0.6348933858951636,-0.6466832497620711,0.42274243106617704,4.8,73568.0
996,-0.6976401943512013,-0.7155182675403285,0.03649339723436391,4.39,73620.0
997,-0.4684044099324259,-0.48408594875348665,0.739092756678952,4.83,73695.0
998,-0.6279265244161382,-0.6506251780226568,-0.4270774609572077,3.25,73714.0
999,-0.6179982372680483,-0.6424249834594408,0.4531758150659877,4.52,73745.0
1000,-0.4709052340438147,-0.4924181790151474,-0.7319648881780781,3.91,73807.0
1001,-0.6207683510003527,-0.6616636797518932,0.4205327921737934,4.93,73996.0
1002,-0.47798699377642195,-0.5163732667848113,-0.7105540677039016,4.07,74117.0
1003,-0.4414402443548599,-0.48997268541162625,-0.7517029188545439,3.88,74376.0
1004,-0.6289308103018578,-0.6998519181623685,-0.33860497411807455,4.54,74392.0
1005,-0.41048109138346156,-0.457008876973771,-0.7890805788915445,3.41,74395.0
1006,-0.4753403294329462,-0.5317595690097693,-0.7009160662883414,4.83,74449.0
1007,-0.5631269124983393,-0.6399891371411696,-0.5227829231730785,4.91,74604.0
1008,-0.5496104011358317,-0.6295039328053202,0.5492296473661495,3.46,74666.0
1009,-0.64401122918667,-0.7474419570144007,-0.16303391541626247,2.61,74785.0
1010,-0.3372541395740544,-0.3931671270861243,-0.8553825199985137,4.07,74824.0
1011,-0.2891800521312448,-0.3375360271762023,-0.8957925696317627,4.85,74837.0
1012,-0.562080293708409,-0.6571261582900488,-0.5022459113976244,4.35,74857.0
1013,-0.4344272092034454,-0.5110487613573359,-0.741688724074216,4.27,74911.0
1014,-0.23503283194918098,-0.2773994972578056,-0.9315627122352337,2.87,74946.0
1015,-0.19964250262286096,-0.2394636551008243,0.9501578968951605,3.0,75097.0
1016,-0.48421533727931987,-0.5841286326821485,-0.6514055937926525,3.22,75141.0
1017,-0.5134172092381889,-0.6217376818156353,-0.5914769854090602,3.57,75177.0
1018,-0.4259086302259212,-0.517278814231698,-0.7423102229163546,4.99,75206.0
1019,-0.45057334493909945,-0.5499077827393555,-0.7032674393949127,3.37,75264.0
1020,-0.5058190366733744,-0.6199484635090858,-0.599842483266685,4.54,75304.0
1021,-0.5457397286467841,-0.6691944151394764,0.504328249578257,4.99,75312.0
1022,-0.32217345053718915,-0.3956469534496062,-0.8600393921181788,4.48,75323.0
1023,-0.6184776718866644,-0.7650965153085489,-0.17920014408578752,4.92,75379.0
1024,-0.4987794726252877,-0.618619073519812,0.6070662892675965,4.31,75411.0
1025,-0.3228153614264323,-0.4019650012771623,0.8568631046878916,3.29,75458.0
1026,-0.4873682054308144,-0.6090728677736079,-0.6257015854839916,4.6,75501.0
1027,-0.5384443076099967,-0.688086667894041,0.4864303291005474,3.66,75695.0
1028,-0.13225022433957043,-0.17456573233342307,0.9757236715674316,5.0,76008.0
1029,-0.45546160906202404,-0.6032265155024579,0.6547308558983569,4.98,76041.0
1030,-0.5111344165872852,-0.6840508128775198,0.5203999361852191,4.14,76127.0
1031,-0.5850252517887035,-0.7919577044073682,-0.17478114657873026,4.61,76219.0
1032,-0.5291642107065175,-0.719652082380573,0.44953989637478586,2.22,76267.0
1033,-0.5820241533746894,-0.7923347997625887,0.18290284298953555,3.8,76276.0
1034,-0.4447633771304607,-0.6073599870874296,-0.6582548020703419,2.8,76297.0
1035,-0.5699220677679163,-0.7810421505299525,-0.2552684778163759,3.91,76333.0
1036,-0.416210518049188,-0.5722698724389618,-0.7065946488361775,4.55,76371.0
1037,-0.2350712189091182,-0.32570000911877317,-0.9157843775150417,4.11,76440.0
1038,-0.5151393417517334,-0.7157303855501695,-0.47155219624109124,3.6,76470.0
1039,-0.42755274900453016,-0.5996759608730633,-0.6764520594762333,4.34,76552.0
1040,-0.5020019422177232,-0.708056042969148,-0.4966393963677327,3.66,76600.0
1041,-0.4620475079170622,-0.6560717591252273,0.5967260236540401,4.64,76669.0
1042,-0.47388610889348765,-0.6753138734735475,-0.5651399190394739,4.66,76705.0
1043,-0.523806258917554,-0.7500296666380359,-0.4038347462535053,4.97,76742.0
1044,-0.4049445610111553,-0.5847265413117111,-0.7029329800152547,4.64,76829.0
