,X,Y,Z,Magnitude,HIP ID
0,0.6585519294965426,0.0030908508788404037,-0.7525289381792739,5.71,88.0
1,0.6382559461724245,0.003719659160928861,-0.7698152449200195,5.53,107.0
2,0.2238076537265289,0.0015510374601099845,-0.9746320990077351,4.78,122.0
3,0.48139307291251326,0.0033960355006318887,0.8764982466010564,5.58,124.0
4,0.9985725846763864,0.007950336249242367,-0.05281652474600224,5.13,145.0
5,0.9944592586239088,0.008511775239188012,-0.10477753871638333,4.37,154.0
6,0.8903622504950328,0.008519006233730362,0.4551730324021955,5.8,171.0
7,0.8684107833300452,0.008837792259920126,-0.49576668385851413,5.04,183.0
8,0.988995668206815,0.01075629378602474,0.14755294104877836,5.7,194.0
9,0.40513186191990924,0.00459922430083167,0.914246696244038,5.87,207.0
10,0.9544464361232856,0.015579471926517327,-0.2979753020403702,4.55,301.0
11,0.46495359228850475,0.00857778803360187,0.8852934985474962,5.9,330.0
12,0.9585024644234376,0.018117214506571635,-0.28450798272231276,5.78,343.0
13,0.9830346727866868,0.019312033738290657,-0.18240032196260753,4.99,355.0
14,0.3182808219652949,0.006515596482836352,-0.9479740847573678,5.59,377.0
15,0.3879710498608423,0.007968161535235486,0.9216371156109243,5.68,379.0
16,0.8223470135986796,0.01766060492399817,0.5687121347914527,6.09,394.0
17,0.4798904020329802,0.010687649326028876,0.8772633448335274,5.8,418.0
18,0.9947737542044608,0.023162832225661425,-0.09944174751707081,4.61,443.0
19,0.9724902497100252,0.024193994576304,0.23168376042652322,5.55,476.0
20,0.5232418821184891,0.014332769107984334,0.852063673986163,5.98,518.0
21,0.6548137148792066,0.018128192677313408,-0.7555728736768859,5.7,522.0
22,0.4351193173100879,0.012235551367362364,0.900289659490955,5.57,531.0
23,0.8740826513001699,0.025273180286315002,0.4851193513500372,6.07,544.0
24,0.9232880496065509,0.0313695274000435,-0.38282519536262133,5.93,636.0
25,0.8330883928461895,0.02929860117201308,-0.5523633963925527,5.67,655.0
26,0.9875166805981038,0.03574150774219859,-0.15340583484606102,5.99,671.0
27,0.8732770141343172,0.03199038221344374,0.4861726771739535,2.07,677.0
28,0.9491681727902034,0.03747708978362382,0.31253039452740744,5.57,729.0
29,0.5124003327298762,0.020592484829594564,0.8584997662124638,2.28,746.0
30,0.17840837532680434,0.007284332766042793,0.9839295656241882,6.01,760.0
31,0.8823106559569937,0.03602860101089711,-0.4692865289926157,5.42,761.0
32,0.6972187665400202,0.028659580044710833,-0.7162852923633666,3.88,765.0
33,0.9801975312664258,0.04295711873155419,0.1933067139276006,5.54,813.0
34,0.13516784025697984,0.005920431200692618,-0.9908050279720332,5.29,814.0
35,0.9947983578251199,0.044805729781913266,-0.09148045609393794,5.84,840.0
36,0.6930470962630985,0.031231513289039732,0.7202154642459185,5.01,841.0
37,0.9749251764468619,0.04562682335286925,-0.21780517285129214,5.84,873.0
38,0.9626078815111753,0.04734012536933637,-0.26673016136646915,4.89,910.0
39,0.8834563324857496,0.04465274061621052,-0.4663807900699707,5.41,930.0
40,0.8167523619515389,0.04187163828091986,-0.5754670669588784,5.24,950.0
41,0.9500473352818996,0.05048882206178916,-0.30799503173034315,5.29,983.0
42,0.9634827379623223,0.05570595578625707,0.26191193202786,2.83,1067.0
43,0.08711492296696009,0.005072749943618757,-0.9961853529361241,5.78,1074.0
44,0.7530056766647552,0.04443880034018576,0.6565117241412977,5.71,1086.0
45,0.8970126799971859,0.053705606025573525,-0.4387299394909037,5.94,1096.0
46,0.9888219284478178,0.06248051152101232,-0.1353786523082982,5.13,1158.0
